strain	replicate	value
schp677	1	4123
schp678	1	4550
schp675	1	3880
schp676	1	2863
schp687	1	4767
schp688	1	1274
schp679	1	2605
schp680	1	1175
schp681	1	3861
schp683	1	9949
schp684	1	3332
schp685	1	7595
schp686	1	5132
schp689	1	9790
schp690	1	3640
schp677	2	4169
schp678	2	4581
schp674	2	1324
schp675	2	3733
schp676	2	2755
schp687	2	4742
schp688	2	1913
schp679	2	2549
schp680	2	1152
schp681	2	3735
schp683	2	8453
schp684	2	3315
schp685	2	7923
schp686	2	5088
schp689	2	9821
schp690	2	3502
schp677	3	4103
schp678	3	4255
schp675	3	3681
schp676	3	2842
schp687	3	4816
schp688	3	2107
schp679	3	2443
schp680	3	1156
schp681	3	3764
schp683	3	9890
schp684	3	3408
schp685	3	7446
schp686	3	5088
schp689	3	9310
schp690	3	3569
schp677	4	3615
schp678	4	4128
schp674	4	1216
schp675	4	3375
schp676	4	2700
schp687	4	4598
schp688	4	1978
schp679	4	2515
schp680	4	1034
schp681	4	3813
schp683	4	9166
schp684	4	3305
schp685	4	7143
schp686	4	5009
schp689	4	6269
schp690	4	3475
schp677	5	3826
schp675	5	3767
schp676	5	2122
schp687	5	4369
schp688	5	1469
schp680	5	1069
schp681	5	3352
schp684	5	3109
schp685	5	6788
schp686	5	4684
schp689	5	8273
schp690	5	3487
